commissionRateSnapshot,cancelledAt,startedAt,promoNote,userId,expiresAt,renewsAt,stripeSubscriptionId,tier,billingCycle,autoRenew,planSku,stripeCustomerId,status,id,created_date,updated_date,created_by_id,is_sample
"0.05","","2026-04-20T12:57:52.837Z","","698c747aee05acfdd23ea578","2027-04-20T12:57:47.000Z","2027-04-20T12:57:47.000Z","sub_1TOHOZEDnfppNFcx0GrfTkQO","E","yearly","true","MR-PLAN-E-2026-01","cus_UN1RGGZLFCJOXg","active","69e622d1025878085b716f2b","2026-04-20T12:57:53.132000","2026-04-20T12:57:53.132000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.09","","2026-04-19T19:23:45.252Z","","698dc6f781b400b640a229f6","2027-04-19T19:23:38.000Z","2027-04-19T19:23:38.000Z","sub_1TO0wQEDnfppNFcxSkLqJ6Ed","B","yearly","true","MR-PLAN-B-2024-01","cus_UMkRrPbJ1jyv8X","active","69e52bc127aad8c2a113cabf","2026-04-19T19:23:45.542000","2026-04-19T19:23:45.542000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.09","","2026-04-19T19:23:05.540Z","","698dbd987dbcc355eec0ff7c","2026-05-19T19:22:58.000Z","2026-05-19T19:22:58.000Z","sub_1TO0vmEDnfppNFcxbZJaxoMz","B","monthly","true","MR-PLAN-B-2024-01","cus_UMkQoxlneX2yHe","active","69e52b9a554f44c2194aaee4","2026-04-19T19:23:06.058000","2026-04-19T19:23:06.058000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.09","2026-04-19T19:23:05.540Z","2026-04-19T19:23:05.087Z","","698dbd987dbcc355eec0ff7c","2026-05-19T19:22:58.000Z","2026-05-19T19:22:58.000Z","sub_1TO0vmEDnfppNFcxbZJaxoMz","B","monthly","true","MR-PLAN-B-2024-01","cus_UMkQoxlneX2yHe","cancelled","69e52b99fddba6bffa87d9df","2026-04-19T19:23:05.396000","2026-04-19T19:23:05.889000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.06","","2026-04-19T04:00:00.000Z","","69cd302266f2193a99122757","","2026-05-18T04:00:00.000Z","sub_1TNu00EDnfppNFcxNibbOgmh","C","monthly","true","MR-PLAN-C-2024-01","cus_UMdGRwyDs92eSL","active","69e51b5d880bbefd71451021","2026-04-19T18:13:49.436000","2026-04-19T18:51:42.295000","698c747aee05acfdd23ea578","false"
"0.035","","2026-04-19T04:00:00.000Z","","69b48a2b7d5c0db589c6bb1c","","2026-05-18T04:00:00.000Z","sub_1TNtzDEDnfppNFcxaU6h5xSY","D","monthly","true","MR-PLAN-D-2024-01","cus_UMdFJmZOsJytoq","active","69e51b24dac2f70783dedaa5","2026-04-19T18:12:52.742000","2026-04-19T18:44:01.444000","698c747aee05acfdd23ea578","false"
"0.05","","2026-04-19T04:00:00.000Z","Taux garanti à vie 5% — offre fondateur","698dbbf753d545317578c200","","2026-05-18T04:00:00.000Z","sub_1TNtwvEDnfppNFcx53aE4haq","E","monthly","true","MR-PLAN-E-2024-01","cus_UMdCliX97uizTE","active","69e51ae1745a8d7a3cf44c53","2026-04-19T18:11:45.996000","2026-04-19T18:43:49.509000","698c747aee05acfdd23ea578","false"
