commissionRate,isLegacy,nameFr,priceYearlySavings,priceYearly,activeTo,nameEn,descriptionFr,priceMonthly,features,stripeProductId,tier,stripePriceIdMonthly,sortOrder,currency,sku,activeFrom,stripePriceIdYearly,id,created_date,updated_date,created_by_id,is_sample
"0.05","false","Fondateur","24","96","2026-06-01T03:59:00.000Z","Fonder","","10","[]","prod_UMcDBaFiaDf0Oa","E","price_1TNt0iEDnfppNFcxTwb5cob2","4","CAD","MR-PLAN-E-2026-01","2026-04-03T04:00:00.000Z","price_1TNszOEDnfppNFcxi4aIZjBq","69d00349876c14095db5d0ea","2026-04-03T18:13:29.873000","2026-04-19T11:50:53.500000","698c747aee05acfdd23ea578","false"
"0.12","false","Freemium","0","0","","Freemium","Accès gratuit à la plateforme. Idéal pour commencer.","0","[""Accès à toutes les sessions QuickPlay"",""Profil talent public"",""SOTS et réputation"",""Commission plateforme : 12%""]","","A","","0","CAD","MR-PLAN-A-2024-01","2024-01-01T00:00:00.000Z","","69d001aa0258053a9f7d96b9","2026-04-03T18:06:34.973000","2026-04-03T18:06:34.973000","698c747aee05acfdd23ea578","false"
"0.06","false","Pro","120","480","","Pro","Pour les professionnels établis avec volume d'activité élevé.","50","[""Tout Premium inclus"",""Tableau de bord analytique avancé"",""Support prioritaire""]","prod_UMcOBEHEUi9hr1","C","price_1TNt9bEDnfppNFcxFVv3lLmJ","2","CAD","MR-PLAN-C-2024-01","2024-01-01T00:00:00.000Z","price_1TNtB2EDnfppNFcxMT8CeAPz","69d001aa0258053a9f7d96bb","2026-04-03T18:06:34.973000","2026-04-19T11:51:13.252000","698c747aee05acfdd23ea578","false"
"0.09","false","Base","48","192","","Base","Pour les talents actifs qui veulent réduire leur commission.","20","[""Tout Freemium inclus"",""Accès prioritaire aux événements"",""Badge Premium sur le profil""]","prod_UMcKz7yZZRihAi","B","price_1TNt8FEDnfppNFcxPkzGepND","1","CAD","MR-PLAN-B-2024-01","2024-01-01T00:00:00.000Z","price_1TNt5iEDnfppNFcx5UikFezn","69d001aa0258053a9f7d96ba","2026-04-03T18:06:34.973000","2026-04-19T11:51:29.735000","698c747aee05acfdd23ea578","false"
"0.035","false","Studio","216","864","","Studio","Pour les studios et agences gérant plusieurs talents.","90","[""Tout Pro inclus"",""Commission plateforme : 3.5%"",""Gestion multi-talents"",""API access"",""Account manager dédié""]","prod_UMcSzkVxuxtF6s","D","price_1TNtDWEDnfppNFcx7yvznFPn","3","CAD","MR-PLAN-D-2024-01","2024-01-01T00:00:00.000Z","price_1TNtETEDnfppNFcxTy08uWPv","69d001aa0258053a9f7d96bc","2026-04-03T18:06:34.973000","2026-04-19T11:51:43.885000","698c747aee05acfdd23ea578","false"
