sourceId,culturalMomentId,checkpointSystemId,sourceTable,recordedAt,signalType,signalValue,id,created_date,updated_date,created_by_id,is_sample
"69f1034459a60f4b9ff07d82","69f1037419defda4c23d894c","NC-0000000122","Session","2026-04-28T18:59:39.208Z","session_confirmed","1","69f1039b2bad66371325707c","2026-04-28T18:59:39.597000","2026-04-28T18:59:39.597000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69f1034459a60f4b9ff07d82","69f1037419defda4c23d894c","NC-0000000122","Session","2026-04-28T18:59:36.480Z","session_confirmed","1","69f10398f3abfdb82b3c616c","2026-04-28T18:59:36.857000","2026-04-28T18:59:36.857000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69f1034459a60f4b9ff07d82","69f1037419defda4c23d894c","NC-0000000122","Session","2026-04-28T18:58:59.905Z","session_opened","1","69f103746167a309dc4dddec","2026-04-28T18:59:00.687000","2026-04-28T18:59:00.687000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69f0c6970803bf124b82d341","69f0c6a8459801ceb0191e91","NC-0000000104","Session","2026-04-28T14:39:47.389Z","session_confirmed","1","69f0c6b48715f630a8045b42","2026-04-28T14:39:48.250000","2026-04-28T14:39:48.250000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69f0c6970803bf124b82d341","69f0c6a8459801ceb0191e91","NC-0000000104","Session","2026-04-28T14:39:35.431Z","session_opened","1","69f0c6a8880c521a04d3470e","2026-04-28T14:39:36.495000","2026-04-28T14:39:36.495000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000310","69ee4df863c3fe25130a7f74","NC-0000000310","CheckpointLiveStats","2026-04-26T17:40:07.802Z","session_opened","1","69ee4df83d140e299d4f2027","2026-04-26T17:40:08.572000","2026-04-26T17:40:08.572000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69eab28851d78fdfd2b8e537","NC-0000000165","CheckpointLiveStats","2026-04-24T00:00:07.814Z","session_opened","3","69eab28811f1148d2479d68b","2026-04-24T00:00:08.549000","2026-04-24T00:00:08.549000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69ea38a87531d4cce944d9b3","NC-0000000165","CheckpointLiveStats","2026-04-23T16:20:08.245Z","session_opened","2","69ea46b942f759199ede7481","2026-04-23T16:20:09.102000","2026-04-23T16:20:09.102000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69ea38a87531d4cce944d9b3","NC-0000000165","CheckpointLiveStats","2026-04-23T16:20:08.245Z","session_opened","13","69ea46b942f759199ede7482","2026-04-23T16:20:09.102000","2026-04-23T16:20:09.102000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69ea38a87531d4cce944d9b3","NC-0000000165","CheckpointLiveStats","2026-04-23T15:40:08.046Z","session_opened","2","69ea3d59cb0d6016d99b08af","2026-04-23T15:40:09.704000","2026-04-23T15:40:09.704000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69ea38a87531d4cce944d9b3","NC-0000000165","CheckpointLiveStats","2026-04-23T15:30:08.038Z","session_opened","2","69ea3b01e8aa2bb1acfc6e95","2026-04-23T15:30:09.342000","2026-04-23T15:30:09.342000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69ea38a87531d4cce944d9b3","NC-0000000165","CheckpointLiveStats","2026-04-23T15:30:08.038Z","session_opened","13","69ea3b01e8aa2bb1acfc6e96","2026-04-23T15:30:09.342000","2026-04-23T15:30:09.342000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69ea38a87531d4cce944d9b3","NC-0000000165","CheckpointLiveStats","2026-04-23T15:20:08.207Z","session_opened","3","69ea38ac6781a195d7f4664c","2026-04-23T15:20:12.073000","2026-04-23T15:20:12.073000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"69e8ba022d82726f98b964e7","69e8bc00835638d936c231a8","NC-0000000191","Session","2026-04-22T12:24:34.544Z","session_confirmed","1","69e8be0220152b688808ea50","2026-04-22T12:24:34.891000","2026-04-22T12:24:34.891000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e8ba022d82726f98b964e7","69e8bc00835638d936c231a8","NC-0000000191","Session","2026-04-22T12:15:59.727Z","session_opened","1","69e8bc007e760f3401214850","2026-04-22T12:16:00.766000","2026-04-22T12:16:00.766000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
