vibe,coverImageUrl,timezone,arrondissement,geoLat,domainDominantKey,iconKey,type,geoLng,domainRanking,province,sotsRecent30Score,difficultyTier,totalVotes,domainKey,systemId,active,codePostal,sotsGlobalScore,styleTags,radiusKm,name,adresse,parentCheckpointId,pays,id,created_date,updated_date,created_by_id,is_sample
"underground","","America/Toronto","Côte-des-Neiges-Notre-Dame-de-Grâce","45.484553506600214","","🍻","Bar","-73.62792846870387","[]","QC","0","1","0","","NC-0000000013","false","","0","[]","0.1","BAR SASKA","5202 chemin Queen-Mary","","CA","69ce5852314e03da4ab945ed","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/148027084_1331571107200660_3524552729024704403_n_qsluhz.jpg","America/Toronto","Ville-Marie","45.495357588629766","video","🍻","Bar","-73.57637972321636","[{""weight"":1,""key"":""video""}]","QC","0","","0","","NC-0000000133","true","","0","[]","0.1","Upstairs Jazz Bar & Grill","","","CA","69ce5852314e03da4ab945f3","2026-04-02T11:51:46.974000","2026-04-20T14:46:09.635000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/50115160_346878455901660_8879386061713702912_n_ue15lw.jpg","America/Toronto","Le Sud-Ouest","45.49732295861433","","👩‍💻","Coworking","-73.56177673756294","[]","QC","0","1","0","","NC-0000000192","true","","0","[]","0.1","La piscine","914 rue Notre-Dame O","","CA","69ce5852314e03da4ab945fa","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/270145178_693159718525494_27625706393656898_n_w72zqe.jpg","America/Toronto","Ville-Marie","45.49938250513681","music","🪩","Club","-73.55747949993125","[]","QC","0","","0","music","NC-0000000161","true","H3C 1L9","0","[]","0.1","STILLIFE","640 Rue St-Paul Ouest","","CA","69ce5852314e03da4ab94606","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/11111111_fg6uux.jpg","America/Toronto","Côte-des-Neiges-Notre-Dame-de-Grâce","45.46870853376047","","🍺","Pub","-73.61888941735825","[]","QC","0","1","0","","NC-0000000016","true","","0","[]","0.1","Honey Martin Kavanagh","5916 rue Sherbrooke O","","CA","69ce5852314e03da4ab945e5","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Le Sud-Ouest","45.47652570407238","","🍻","Bar","-73.58508785322738","[]","QC","0","","0","","NC-0000000170","false","","0","[]","0.1","Perron-Robitaille","4190 rue Notre-Dame O","","CA","69ce5852314e03da4ab945ea","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/307795753_486506276419452_8340968905298104566_n_bdo5d6.jpg","America/Toronto","Ville-Marie","45.49581261137606","music","🍻","Bar","-73.5750419865239","[{""weight"":0.6667,""key"":""music""},{""weight"":0.3333,""key"":""humour""}]","QC","0","1","0","","NC-0000000104","true","","0","[]","0.1","Afro Lounge","1204 rue Bishop","","CA","69ce5852314e03da4ab945f4","2026-04-02T11:51:46.974000","2026-04-28T14:39:47.347000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/569268918_18548245327010207_1062840838255233430_n_l4il2j.jpg","America/Toronto","Ville-Marie","45.49798723210582","","🍻","Bar","-73.57702099898988","[]","QC","0","","0","","NC-0000000138","true","","0","[]","0.1","SIR WINSTON CHURCHILL PUB","1461 rue Crescent","","CA","69ce5852314e03da4ab94602","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774990398/microrave/avatars/v0bszn6zgh08jp96y6k6.jpg","America/Toronto","Verdun","45.46343974841523","","🛢️","Microbrasserie","-73.56676367060257","[]","QC","0","","0","","NC-0000000051","true","H4G 1V6","0","[]","0.1","BENELUX VERDUN","4026 rue Wellington","","CA","69ce5852314e03da4ab945e2","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/472434321_458089920505742_3394494087220764793_n_cp1fhw.jpg","America/Toronto","Le Sud-Ouest","45.4713817834902","","🍻","Bar","-73.59021857305858","[]","QC","0","","0","","NC-0000000043","true","","0","[]","0.1","Bon délire","4855 rue Notre-Dame O","","CA","69ce5852314e03da4ab945e8","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
