eventId,calculated_price_cents,targetSceneId,finalStatus,organizerUserId,sessionId,expiresAt,final_price_cents,isGratuit,createdAt,talentUserId,finalizedAt,targetPlageIds,slotId,current_offer_price_cents,rounds,status,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"69e7dc7a3a00ff3f726c896b","","sc-1776802921390","accepted","698d204286a5af9808991620","69e7dc7cb81443acfcb139e8","2026-04-24T20:45:41.759Z","","false","2026-04-21T20:45:01.796Z","698dbbf753d545317578c200","2026-04-22T00:51:47.782Z","[""p-2""]","SL-69e7dc7cb81443acfcb139e8-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T20:45:01.796Z"",""price"":450,""proposedBy"":""organizer"",""respondedAt"":""2026-04-21T20:45:41.580Z"",""message"":"""",""expiresAt"":""2026-04-24T20:45:01.796Z"",""status"":""countered""},{""roundIndex"":1,""isGratuit"":false,""createdAt"":""2026-04-21T20:45:41.580Z"",""price"":510,""proposedBy"":""talent"",""respondedAt"":""2026-04-22T00:51:47.782Z"",""message"":"""",""expiresAt"":""2026-04-24T20:45:41.759Z"",""status"":""accepted""}]","accepted","2026-04-22T00:51:47.782Z","69e7e1d175d24360fc0561e2","2026-04-21T20:45:05.156000","2026-04-22T00:51:48.997000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7dc7a3a00ff3f726c896b","","sc-1776802921390","accepted","698d204286a5af9808991620","69e7dc7cb81443acfcb139e8","2026-04-24T20:37:49.509Z","","false","2026-04-21T20:36:36.288Z","69b48a2b7d5c0db589c6bb1c","2026-04-22T00:51:37.589Z","[""p-1""]","SL-69e7dc7cb81443acfcb139e8-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T20:36:36.288Z"",""price"":300,""proposedBy"":""organizer"",""respondedAt"":""2026-04-21T20:37:49.231Z"",""message"":"""",""expiresAt"":""2026-04-24T20:36:36.288Z"",""status"":""countered""},{""roundIndex"":1,""isGratuit"":false,""createdAt"":""2026-04-21T20:37:49.231Z"",""price"":400,""proposedBy"":""talent"",""respondedAt"":""2026-04-22T00:51:37.589Z"",""message"":"""",""expiresAt"":""2026-04-24T20:37:49.509Z"",""status"":""accepted""}]","accepted","2026-04-22T00:51:37.589Z","69e7dfd7c02f80133ede6a22","2026-04-21T20:36:39.641000","2026-04-22T00:51:38.985000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7dc7a3a00ff3f726c896b","","sc-1","","698d204286a5af9808991620","69e7dc7cb81443acfcb139e8","2026-04-24T20:25:38.026Z","","false","2026-04-21T20:25:38.025Z","698dd1b2193c860027a3457a","","[""p-3""]","SL-69e7dc7cb81443acfcb139e8-1","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T20:25:38.025Z"",""price"":250,""proposedBy"":""organizer"",""respondedAt"":null,""message"":"""",""expiresAt"":""2026-04-24T20:25:38.026Z"",""status"":""pending""}]","pending_talent","2026-04-21T20:25:38.025Z","69e7dd451b1a8db954f6cf53","2026-04-21T20:25:41.324000","2026-04-21T20:25:41.324000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7dc7a3a00ff3f726c896b","","sc-1","accepted","698d204286a5af9808991620","69e7dc7cb81443acfcb139e8","2026-04-24T20:24:36.693Z","","false","2026-04-21T20:23:47.330Z","698dd1b2193c860027a3457a","2026-04-22T00:53:56.590Z","[""p-2""]","SL-69e7dc7cb81443acfcb139e8-1","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T20:23:47.330Z"",""price"":200,""proposedBy"":""organizer"",""respondedAt"":""2026-04-21T20:24:36.483Z"",""message"":"""",""expiresAt"":""2026-04-24T20:23:47.330Z"",""status"":""countered""},{""roundIndex"":1,""isGratuit"":false,""createdAt"":""2026-04-21T20:24:36.483Z"",""price"":335,""proposedBy"":""talent"",""respondedAt"":""2026-04-22T00:53:56.590Z"",""message"":"""",""expiresAt"":""2026-04-24T20:24:36.693Z"",""status"":""accepted""}]","accepted","2026-04-22T00:53:56.590Z","69e7dcd6ea8a1a70c82ed771","2026-04-21T20:23:50.288000","2026-04-22T00:53:59.231000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7dc7a3a00ff3f726c896b","","sc-1","accepted","698d204286a5af9808991620","69e7dc7cb81443acfcb139e8","2026-04-24T20:23:21.120Z","","false","2026-04-21T20:23:21.119Z","69cd302266f2193a99122757","2026-04-21T20:24:06.395Z","[""p-1""]","SL-69e7dc7cb81443acfcb139e8-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T20:23:21.119Z"",""price"":100,""proposedBy"":""organizer"",""respondedAt"":""2026-04-21T20:24:06.395Z"",""message"":"""",""expiresAt"":""2026-04-24T20:23:21.120Z"",""status"":""accepted""}]","accepted","2026-04-21T20:24:06.395Z","69e7dcbcbdf76605a36d7a9c","2026-04-21T20:23:24.045000","2026-04-21T20:24:07.536000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7d0dc88c32287b5636d7c","","sc-1776799960240","accepted","698d204286a5af9808991620","69e7d0dd95674ed2e3c8ef38","2026-04-24T20:19:22.403Z","","false","2026-04-21T20:19:22.402Z","698dd1b2193c860027a3457a","2026-04-21T20:19:54.696Z","[""p-1""]","SL-69e7d0dd95674ed2e3c8ef38-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T20:19:22.402Z"",""price"":80,""proposedBy"":""organizer"",""respondedAt"":""2026-04-21T20:19:54.696Z"",""message"":"""",""expiresAt"":""2026-04-24T20:19:22.403Z"",""status"":""accepted""}]","accepted","2026-04-21T20:19:54.696Z","69e7dbccbd6e70fddb34325b","2026-04-21T20:19:24.984000","2026-04-21T20:19:56.231000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7d0dc88c32287b5636d7c","","sc-1","accepted","698d204286a5af9808991620","69e7d0dd95674ed2e3c8ef38","2026-04-24T19:46:45.347Z","","false","2026-04-21T19:46:45.347Z","699c655e40e8dc98eacda675","2026-04-22T22:15:21.015Z","[""p-3""]","SL-69e7d0dd95674ed2e3c8ef38-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T19:46:45.347Z"",""price"":50,""proposedBy"":""organizer"",""respondedAt"":""2026-04-22T22:15:21.015Z"",""message"":"""",""expiresAt"":""2026-04-24T19:46:45.347Z"",""status"":""accepted""}]","accepted","2026-04-22T22:15:21.015Z","69e7d428b872b494594ab46c","2026-04-21T19:46:48.387000","2026-04-22T22:15:22.266000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7d0dc88c32287b5636d7c","","sc-1","accepted","698d204286a5af9808991620","69e7d0dd95674ed2e3c8ef38","2026-04-24T19:45:41.173Z","","false","2026-04-21T19:45:41.172Z","699c655e40e8dc98eacda675","2026-04-22T22:15:10.689Z","[""p-2""]","SL-69e7d0dd95674ed2e3c8ef38-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T19:45:41.172Z"",""price"":40,""proposedBy"":""organizer"",""respondedAt"":""2026-04-22T22:15:10.689Z"",""message"":"""",""expiresAt"":""2026-04-24T19:45:41.173Z"",""status"":""accepted""}]","accepted","2026-04-22T22:15:10.689Z","69e7d3e8a75432d2576e2153","2026-04-21T19:45:44.948000","2026-04-22T22:15:11.955000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7d0dc88c32287b5636d7c","","sc-1","accepted","698d204286a5af9808991620","69e7d0dd95674ed2e3c8ef38","2026-04-24T19:35:56.688Z","","false","2026-04-21T19:35:56.688Z","699c655e40e8dc98eacda675","2026-04-22T22:14:59.132Z","[""p-1""]","SL-69e7d0dd95674ed2e3c8ef38-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T19:35:56.688Z"",""price"":20,""proposedBy"":""organizer"",""respondedAt"":""2026-04-22T22:14:59.132Z"",""message"":"""",""expiresAt"":""2026-04-24T19:35:56.688Z"",""status"":""accepted""}]","accepted","2026-04-22T22:14:59.132Z","69e7d19f7782f935a0e79c3c","2026-04-21T19:35:59.838000","2026-04-22T22:15:00.509000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e7cd5b37d2d78827c5a490","","sc-1","accepted","698d204286a5af9808991620","69e7cd5d03b27e03dfd4b0f4","2026-04-24T19:19:42.204Z","","false","2026-04-21T19:19:42.204Z","699c655e40e8dc98eacda675","2026-04-21T19:21:42.980Z","[""p-1""]","SL-69e7cd5d03b27e03dfd4b0f4-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-04-21T19:19:42.204Z"",""price"":20,""proposedBy"":""organizer"",""respondedAt"":""2026-04-21T19:21:42.980Z"",""message"":"""",""expiresAt"":""2026-04-24T19:19:42.204Z"",""status"":""accepted""}]","accepted","2026-04-21T19:21:42.980Z","69e7cdd1d68faa4a0f8b609e","2026-04-21T19:19:45.026000","2026-04-21T19:21:44.297000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
