rolePrefs,stylePrefs,domainAffinity,checkpointPrefs,userId,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"{""RL-000008"":{""active"":true},""RL-000029"":{""active"":true}}","{""ST-000022"":{""active"":true,""weight"":50},""ST-000183"":{""active"":true,""weight"":50}}","{""music"":0.5035,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","{}","69cbff8d58eb0af5dc346df8","2026-03-31T17:12:00.408Z","69cbff950fd1397f15e04dfd","2026-03-31T17:08:37.424000","2026-03-31T17:12:00.629000","69cbff8d58eb0af5dc346df8","false"
"{""RL-000008"":{""active"":true}}","{""ST-000114"":{""active"":true,""weight"":50}}","","{}","69cbfedd21c3baa494041243","2026-04-28T14:37:57.025Z","69cbfefc14fe6470033c2035","2026-03-31T17:06:04.824000","2026-04-28T14:37:57.646000","69cbfedd21c3baa494041243","false"
"{""RL-000008"":{""active"":true},""RL-000101"":{""active"":true}}","{""ST-000099"":{""active"":true,""weight"":50},""ST-000092"":{""active"":true,""weight"":50}}","{""music"":0.5035,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","{}","69be7dd0c77c2ac0d788be7e","2026-04-17T17:11:44.197Z","69cb2b3df1ce4a00524e9858","2026-03-31T02:02:37.218000","2026-04-17T17:11:44.581000","69be7dd0c77c2ac0d788be7e","false"
"{}","{}","","{}","69c883b4db1f350705365108","","69c883b89e24b2f2d82436e2","2026-03-29T01:43:20.823000","2026-03-29T01:43:20.823000","69c883b4db1f350705365108","false"
"{}","{}","","{}","69c446f5e8203449298d7b7a","","69c446fe32e727b91d4afb85","2026-03-25T20:35:10.673000","2026-03-25T20:35:10.673000","69c446f5e8203449298d7b7a","false"
"{""RL-000008"":{""active"":true}}","{""ST-000023"":{""active"":true,""weight"":50},""ST-000018"":{""active"":true,""weight"":50},""ST-000019"":{""active"":true,""weight"":50},""ST-000020"":{""active"":true,""weight"":50},""ST-000008"":{""active"":true,""weight"":50}}","{""music"":0.5135,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","{}","69bc2233a6db140ca6cd819a","2026-03-19T16:26:22.107Z","69bc225b6aa9fbcece2eac13","2026-03-19T16:20:43.999000","2026-03-19T16:26:22.530000","69bc2233a6db140ca6cd819a","false"
"{""RL-000008"":{""active"":true}}","{""ST-000074"":{""active"":true,""weight"":50},""ST-000012"":{""active"":true,""weight"":50},""ST-000042"":{""active"":true,""weight"":50},""ST-000008"":{""active"":true,""weight"":50}}","{""music"":0.6276,""humour"":0.52,""photo"":0.508,""video"":0.5317,""food"":0.504,""art"":0.51,""responsable"":0.5}","","698dc6f781b400b640a229f6","2026-04-06T21:03:23.918Z","69b988cc85a4bc016789d7f3","2026-03-17T17:01:00.584000","2026-04-06T21:03:23.383000","698dc6f781b400b640a229f6","false"
"{}","{}","","","698dc6f781b400b640a229f6","","69b988cc3cac158d8be3afc8","2026-03-17T17:01:00.378000","2026-03-17T17:01:00.378000","698dc6f781b400b640a229f6","false"
"{""RL-000009"":{""active"":true},""RL-000001"":{""active"":true},""RL-000008"":{""active"":true}}","{""ST-000240"":{""active"":true,""weight"":50}}","{""music"":0.518,""humour"":0.5,""photo"":0.504,""video"":0.51,""food"":0.5,""art"":0.504,""responsable"":0.5}","{}","69b8923e5da3bfb51a6a8594","2026-03-16T23:57:09.356Z","69b892537c0c1a6b32b0144d","2026-03-16T23:29:23.612000","2026-03-16T23:57:09.723000","69b8923e5da3bfb51a6a8594","false"
"{""RL-000010"":{""active"":true}}","{""ST-000201"":{""active"":true,""weight"":50}}","","{}","69b5fabdcdff0f2e42039d46","2026-03-15T02:35:41.500Z","69b5fac541126f0e5aa84917","2026-03-15T00:18:13.392000","2026-03-15T02:35:41.757000","69b5fabdcdff0f2e42039d46","false"
