centerLng,sceneScore,sceneKey,sceneName,active,lastComputedAt,centerLat,checkpointSystemIds,checkpointCount,activeMomentCount,domainKey,id,created_date,updated_date,created_by_id,is_sample
"-73.59064160836765","120","music_NC-0000000067-NC-0000000069-NC-0000000117-NC-0000000135","Scène music — Bar la marche à côté","true","2026-04-26T13:00:54.161Z","45.52218184254722","[""NC-0000000067"",""NC-0000000069"",""NC-0000000117"",""NC-0000000135"",""NC-0000000150"",""NC-0000000177""]","6","0","music","69ea3898b12aa2f6ae5506d0","2026-04-23T15:19:52.105000","2026-04-26T13:00:55.089000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"-73.56670356262183","140","music_NC-0000000093-NC-0000000101-NC-0000000105-NC-0000000124","Scène music — Francesco's","true","2026-04-26T13:00:54.161Z","45.50215049934241","[""NC-0000000093"",""NC-0000000101"",""NC-0000000105"",""NC-0000000124"",""NC-0000000129"",""NC-0000000191"",""NC-0000000310""]","7","0","music","69ea38970733d7fa93a84fd7","2026-04-23T15:19:51.861000","2026-04-26T13:00:54.828000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"-73.56901856674017","320","music_NC-0000000068-NC-0000000077-NC-0000000095-NC-0000000098","Scène music — ARCADE MTL","false","2026-04-23T15:19:51.215Z","45.51533152556411","[""NC-0000000068"",""NC-0000000077"",""NC-0000000095"",""NC-0000000098"",""NC-0000000107"",""NC-0000000110"",""NC-0000000114"",""NC-0000000118"",""NC-0000000120"",""NC-0000000123"",""NC-0000000126"",""NC-0000000132"",""NC-0000000143"",""NC-0000000151"",""NC-0000000164"",""NC-0000000304""]","16","0","music","69e8b300d6a38b725c6678cc","2026-04-22T11:37:36.780000","2026-04-23T15:20:00.432000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"-73.5563633378027","220","music_NC-0000000089-NC-0000000106-NC-0000000127-NC-0000000147","Scène music — BAR LE STUD","false","2026-04-23T15:19:51.215Z","45.51995147378229","[""NC-0000000089"",""NC-0000000106"",""NC-0000000127"",""NC-0000000147"",""NC-0000000153"",""NC-0000000156"",""NC-0000000158"",""NC-0000000203"",""NC-0000000305"",""NC-0000000306"",""NC-0000000307""]","11","0","music","69e8b300bf0e235972621545","2026-04-22T11:37:36.151000","2026-04-23T15:20:00.326000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"-73.55663537454197","60","music_NC-0000000073-NC-0000000139-NC-0000000161","Scène music — NhauBar","false","2026-04-23T15:19:51.215Z","45.50076161698846","[""NC-0000000073"",""NC-0000000139"",""NC-0000000161""]","3","0","music","69e8b2ff2381414745f2b69f","2026-04-22T11:37:35.282000","2026-04-23T15:20:00.260000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"-73.55579625588942","80","music_NC-0000000073-NC-0000000139-NC-0000000160-NC-0000000161","Scène music — NhauBar","false","2026-04-22T11:37:34.340Z","45.50189129611461","[""NC-0000000073"",""NC-0000000139"",""NC-0000000160"",""NC-0000000161""]","4","0","music","69e63812c75d78bd6768e920","2026-04-20T14:28:34.056000","2026-04-22T11:37:37.800000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"-73.56504775702994","300","music_NC-0000000072-NC-0000000079-NC-0000000091-NC-0000000093","Scène music — Hang","false","2026-04-23T15:19:51.215Z","45.50111494659611","[""NC-0000000072"",""NC-0000000079"",""NC-0000000091"",""NC-0000000093"",""NC-0000000101"",""NC-0000000105"",""NC-0000000124"",""NC-0000000129"",""NC-0000000131"",""NC-0000000137"",""NC-0000000190"",""NC-0000000191"",""NC-0000000192"",""NC-0000000208"",""NC-0000000310""]","15","0","music","69e63811a871750ef1cee4ec","2026-04-20T14:28:33.582000","2026-04-23T15:20:00.267000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"-73.61261207968732","295","music_NC-0000000008-NC-0000000029-NC-0000000039","Scène music — TAVERNE COBRA","false","2026-04-23T15:19:51.215Z","45.53007274809844","[""NC-0000000008"",""NC-0000000029"",""NC-0000000039""]","3","0","music","69df812c243c47861feb6041","2026-04-15T12:14:36.150000","2026-04-23T15:20:00.213000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.61527594697478","100","music_NC-0000000036-NC-0000000059-NC-0000000060-NC-0000000167","Scène music — One punch Mickey's","false","2026-04-23T15:19:51.215Z","45.53586293570324","[""NC-0000000036"",""NC-0000000059"",""NC-0000000060"",""NC-0000000167"",""NC-0000000181""]","5","0","music","69df812b85cf0a47b2a90fb3","2026-04-15T12:14:35.800000","2026-04-23T15:20:00.199000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.57398055952576","140","music_NC-0000000098-NC-0000000107-NC-0000000110-NC-0000000118","Scène music — La porte","false","2026-04-22T11:37:34.340Z","45.51463707108451","[""NC-0000000098"",""NC-0000000107"",""NC-0000000110"",""NC-0000000118"",""NC-0000000123"",""NC-0000000126"",""NC-0000000304""]","7","0","music","69df812be43dd528bfbc5cdd","2026-04-15T12:14:35.633000","2026-04-22T11:37:37.879000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
