commissionRate,notes,tier,tierUpgradedAt,lifetimeSellerRevenue,isActive,userId,lifetimeEventCount,id,created_date,updated_date,created_by_id,is_sample
"0.05","Créé automatiquement — première vente 2026-04-24","C","","4","true","698c747aee05acfdd23ea578","1","69eb698fa02fab2a0721d500","2026-04-24T13:01:03.440000","2026-04-24T13:01:03.440000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.05","Créé automatiquement — première vente 2026-04-24","C","","44.27","true","69cd302266f2193a99122757","6","69eb6986850f9ed6ac9d6fbb","2026-04-24T13:00:54.452000","2026-04-24T17:09:28.265000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.05","Créé automatiquement — première vente 2026-04-24","C","","13.07","true","69b48a2b7d5c0db589c6bb1c","2","69eb697bd43fc9b3450b38cb","2026-04-24T13:00:43.200000","2026-04-24T13:00:49.215000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
