x,y,styleSystemId,locked,domainKey,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"680","4320","ST-000063","false","music","2026-02-17T00:13:57.602Z","6993b25215320cbf0a98343c","2026-02-17T00:12:02.495000","2026-02-17T00:14:07.075000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","4230","ST-000064","false","music","2026-02-17T00:13:57.602Z","6993b252317196e16bc97a34","2026-02-17T00:12:02.328000","2026-02-17T00:14:06.881000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","4140","ST-000062","false","music","2026-02-17T00:13:57.602Z","6993b252b4344f3724dfb78b","2026-02-17T00:12:02.165000","2026-02-17T00:14:06.735000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","4050","ST-000065","false","music","2026-02-17T00:13:57.602Z","6993b2517797445912a7c543","2026-02-17T00:12:01.959000","2026-02-17T00:14:06.496000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","3960","ST-000067","false","music","2026-02-17T00:13:57.602Z","6993b251be659d86c305157c","2026-02-17T00:12:01.823000","2026-02-17T00:14:06.370000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","3960","ST-000061","false","music","2026-02-17T00:13:57.602Z","6993b2517482d42c6d5a6d1f","2026-02-17T00:12:01.688000","2026-02-17T00:14:06.178000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","3870","ST-TEST01","false","music","2026-02-17T00:13:57.602Z","6993b2512a9533c0308b4017","2026-02-17T00:12:01.524000","2026-02-17T00:14:06.002000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","3690","ST-000021","false","music","2026-02-17T00:13:57.602Z","6993b2513f5d67cd4a000dd9","2026-02-17T00:12:01.368000","2026-02-17T00:14:05.847000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","3600","ST-000020","false","music","2026-02-17T00:13:57.602Z","6993b251631d4c4e84d7ce8b","2026-02-17T00:12:01.184000","2026-02-17T00:14:05.712000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","3600","ST-000014","false","music","2026-02-17T00:13:57.602Z","6993b2500216efed003e2340","2026-02-17T00:12:00.368000","2026-02-17T00:14:05.574000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","3420","ST-000074","false","music","2026-02-17T00:13:57.602Z","6993b2504951a5a98154b942","2026-02-17T00:12:00.243000","2026-02-17T00:14:05.434000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","3330","ST-000095","false","music","2026-02-17T00:13:57.602Z","6993b2509aaa3899362072f5","2026-02-17T00:12:00.092000","2026-02-17T00:14:05.151000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","3240","ST-000094","false","music","2026-02-17T00:13:57.602Z","6993b24ff2f3a88c6df88748","2026-02-17T00:11:59.914000","2026-02-17T00:14:04.966000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","3150","ST-000093","false","music","2026-02-17T00:13:57.602Z","6993b24fc70c120741aff93c","2026-02-17T00:11:59.778000","2026-02-17T00:14:04.750000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","3060","ST-000090","false","music","2026-02-17T00:13:57.602Z","6993b24fb1816355fdc05fd9","2026-02-17T00:11:59.588000","2026-02-17T00:14:04.579000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","2970","ST-000092","false","music","2026-02-17T00:13:57.602Z","6993b24f42e00c062f09e4ea","2026-02-17T00:11:59.427000","2026-02-17T00:14:04.449000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","2880","ST-000091","false","music","2026-02-17T00:13:57.602Z","6993b24f6643909f18cb7505","2026-02-17T00:11:59.265000","2026-02-17T00:14:04.282000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","2790","ST-000096","false","music","2026-02-17T00:13:57.602Z","6993b24f3ecf3c59352d5d20","2026-02-17T00:11:59.117000","2026-02-17T00:14:04.004000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","2790","ST-000024","false","music","2026-02-17T00:13:57.602Z","6993b24e9aaa3899362072f4","2026-02-17T00:11:58.975000","2026-02-17T00:14:03.783000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","2700","ST-000083","false","music","2026-02-17T00:13:57.602Z","6993b24e3c4be53f963e8dbc","2026-02-17T00:11:58.786000","2026-02-17T00:14:03.589000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","2610","ST-000072","false","music","2026-02-17T00:13:57.602Z","6993b24eafa0fa0550eacae0","2026-02-17T00:11:58.619000","2026-02-17T00:14:03.437000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","2610","ST-000073","false","music","2026-02-17T00:13:57.602Z","6993b24ef039789558bdd2a0","2026-02-17T00:11:58.490000","2026-02-17T00:14:03.275000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","2610","ST-000012","false","music","2026-02-17T00:13:57.602Z","6993b24ee9977a90ca2f8ca2","2026-02-17T00:11:58.218000","2026-02-17T00:14:03.070000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","2430","ST-000097","false","music","2026-02-17T00:13:57.602Z","6993b24e66d99fe8bcb86c7d","2026-02-17T00:11:58.061000","2026-02-17T00:14:02.880000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","3960","ST-000002","false","music","2026-02-17T00:13:57.602Z","6993b24d60291bcfcb81e46e","2026-02-17T00:11:57.930000","2026-02-17T00:14:02.723000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","2430","ST-000001","false","music","2026-02-17T00:13:57.602Z","6993b24d12dcd7234e48efad","2026-02-17T00:11:57.781000","2026-02-17T00:14:02.513000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","2340","ST-000084","false","music","2026-02-17T00:13:57.602Z","6993b24d08e05c2264de293c","2026-02-17T00:11:57.623000","2026-02-17T00:14:02.308000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","2160","ST-000013","false","music","2026-02-17T00:13:57.602Z","6993b24d8955252ad7a99ba7","2026-02-17T00:11:57.436000","2026-02-17T00:14:02.074000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","2160","ST-000007","false","music","2026-02-17T00:13:57.602Z","6993b24d4645e0d92340b64a","2026-02-17T00:11:57.268000","2026-02-17T00:14:01.858000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","2070","ST-000009","false","music","2026-02-17T00:13:57.602Z","6993b24d76645de5e9cfa1bf","2026-02-17T00:11:57.107000","2026-02-17T00:14:01.689000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","1890","ST-000030","false","music","2026-02-17T00:13:57.602Z","6993b24cca614e2c18e7e863","2026-02-17T00:11:56.980000","2026-02-17T00:14:01.507000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1800","ST-000089","false","music","2026-02-17T00:13:57.602Z","6993b24c76a4793cb929fd9c","2026-02-17T00:11:56.820000","2026-02-17T00:14:01.331000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1710","ST-000087","false","music","2026-02-17T00:13:57.602Z","6993b24c1d67c5d08c16d593","2026-02-17T00:11:56.682000","2026-02-17T00:14:01.177000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","1710","ST-000029","false","music","2026-02-17T00:13:57.602Z","6993b24cd597e2b459aabcf5","2026-02-17T00:11:56.560000","2026-02-17T00:14:01.040000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1620","ST-000108","false","music","2026-02-17T00:13:57.602Z","6993b24c5d93d6b9030c3c4d","2026-02-17T00:11:56.420000","2026-02-17T00:14:00.898000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1530","ST-000082","false","music","2026-02-17T00:13:57.602Z","6993b24ce27446722f1a27b5","2026-02-17T00:11:56.279000","2026-02-17T00:14:00.717000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1440","ST-000079","false","music","2026-02-17T00:13:57.602Z","6993b24c7976347ebfac71ac","2026-02-17T00:11:56.116000","2026-02-17T00:14:00.552000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1350","ST-000080","false","music","2026-02-17T00:13:57.602Z","6993b24bb5dab8a78acbfd0d","2026-02-17T00:11:55.930000","2026-02-17T00:14:00.395000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1260","ST-000102","false","music","2026-02-17T00:13:57.602Z","6993b24bce3bd3b3b5904095","2026-02-17T00:11:55.759000","2026-02-17T00:14:00.263000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1170","ST-000086","false","music","2026-02-17T00:13:57.602Z","6993b24b091c75bf0ab30df4","2026-02-17T00:11:55.574000","2026-02-17T00:14:00.120000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","1080","ST-000106","false","music","2026-02-17T00:13:57.602Z","6993b24b723d005aa3490a54","2026-02-17T00:11:55.325000","2026-02-17T00:13:59.929000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","990","ST-000104","false","music","2026-02-17T00:13:57.602Z","6993b24bea4fe1eb8bd16ca0","2026-02-17T00:11:55.137000","2026-02-17T00:13:59.732000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","900","ST-000107","false","music","2026-02-17T00:13:57.602Z","6993b24a7479e9ad938f0938","2026-02-17T00:11:54.961000","2026-02-17T00:13:59.580000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","810","ST-000078","false","music","2026-02-17T00:13:57.602Z","6993b24a63954bf57d28ed71","2026-02-17T00:11:54.797000","2026-02-17T00:13:59.435000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","720","ST-000105","false","music","2026-02-17T00:13:57.602Z","6993b24ab51ea48782dae091","2026-02-17T00:11:54.618000","2026-02-17T00:13:59.291000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","630","ST-000081","false","music","2026-02-17T00:13:57.602Z","6993b24ab1df3a65b7d315c9","2026-02-17T00:11:54.448000","2026-02-17T00:13:59.113000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","540","ST-000076","false","music","2026-02-17T00:13:57.602Z","6993b24a42e00c062f09e4e3","2026-02-17T00:11:54.296000","2026-02-17T00:13:58.977000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","450","ST-000075","false","music","2026-02-17T00:13:57.602Z","6993b24af997cd101103a924","2026-02-17T00:11:54.146000","2026-02-17T00:13:58.805000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","360","ST-000109","false","music","2026-02-17T00:13:57.602Z","6993b24adf3a5d8be14c7eda","2026-02-17T00:11:54.002000","2026-02-17T00:13:58.593000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","270","ST-000103","false","music","2026-02-17T00:13:57.602Z","6993b2478a6ee3d911406ab5","2026-02-17T00:11:51.892000","2026-02-17T00:13:58.429000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"680","180","ST-000077","false","music","2026-02-17T00:13:57.602Z","6993b2445a7c04522be82104","2026-02-17T00:11:48.492000","2026-02-17T00:13:58.288000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","180","ST-000028","false","music","2026-02-17T00:13:57.602Z","6993b2440160f4723e20eb6f","2026-02-17T00:11:48.345000","2026-02-17T00:13:58.154000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","180","ST-000000","false","music","2026-02-17T00:13:57.602Z","6993b24473ecf660a3abfed6","2026-02-17T00:11:48.206000","2026-02-17T00:13:58.027000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","90","ST-000008","false","music","2026-02-17T00:13:57.602Z","6993b2443c2c9518501757a4","2026-02-17T00:11:48.051000","2026-02-17T00:13:57.880000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","0","ST-000023","false","music","2026-02-17T00:13:57.602Z","6993b2436643909f18cb74ff","2026-02-17T00:11:47.873000","2026-02-17T00:13:57.719000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","180","ST-000111","false","humour","2026-02-16T23:56:58.263Z","6993aeca23f9efe6f5eaa252","2026-02-16T23:56:58.878000","2026-02-16T23:56:58.878000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","90","ST-000112","false","humour","2026-02-16T23:56:58.263Z","6993aecadd2f57d98d14fab0","2026-02-16T23:56:58.694000","2026-02-16T23:56:58.694000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"340","0","ST-000113","false","humour","2026-02-16T23:56:58.263Z","6993aeca8fe58604619aadc2","2026-02-16T23:56:58.511000","2026-02-16T23:56:58.511000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","0","ST-000110","false","humour","2026-02-16T23:56:58.263Z","6993aecaef1d07426f398d29","2026-02-16T23:56:58.374000","2026-02-16T23:56:58.374000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
