lastSeenAt,rarityIndex,votesCount,rarityTier,styleSystemId,sessionsCount,domainKey,usageCount,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"2026-02-18T00:05:18.618Z","98","0","common","ST-000081","1","music","0","2026-03-12T20:59:16.757Z","69b3296822122a9455f59f60","2026-03-12T21:00:24.764000","2026-03-12T21:00:24.764000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-18T00:11:21.740Z","93","0","common","ST-000082","3","music","0","2026-03-12T20:59:16.757Z","69b32968b841690e9d317436","2026-03-12T21:00:24.041000","2026-03-12T21:00:24.041000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-18T00:11:21.740Z","98","0","common","ST-000111","1","music","0","2026-03-12T20:59:16.757Z","69b3296798524c7290d2b28b","2026-03-12T21:00:23.589000","2026-03-12T21:00:23.589000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-22T13:32:28.296Z","98","0","common","ST-000008","1","music","0","2026-03-12T20:59:16.757Z","69b32967ef9868f18795e968","2026-03-12T21:00:23.010000","2026-03-12T21:00:23.010000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-22T16:14:54.015Z","98","0","common","ST-000144","1","music","0","2026-03-12T20:59:16.757Z","69b32966e7b3a3a8ecd406ee","2026-03-12T21:00:22.652000","2026-03-12T21:00:22.652000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-22T16:34:13.662Z","93","0","common","ST-000088","3","music","0","2026-03-12T20:59:16.757Z","69b32966856200d738b2199d","2026-03-12T21:00:22.284000","2026-03-12T21:00:22.284000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-22T16:45:42.213Z","96","0","common","ST-000162","1","humour","0","2026-03-12T20:59:16.757Z","69b32965fac2780bd6aa3b21","2026-03-12T21:00:21.925000","2026-03-12T21:00:21.925000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-23T12:40:43.843Z","89","0","common","ST-000161","3","humour","0","2026-03-12T20:59:16.757Z","69b32965835d2d0c32e0cc73","2026-03-12T21:00:21.097000","2026-03-12T21:00:21.097000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-28T14:40:57.966Z","96","0","common","ST-000146","1","humour","0","2026-03-12T20:59:16.757Z","69b32964f04a89424993e98d","2026-03-12T21:00:20.646000","2026-03-12T21:00:20.646000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-02-28T14:40:57.966Z","96","0","common","ST-000148","1","humour","0","2026-03-12T20:59:16.757Z","69b32963f7cb1a61805c925d","2026-03-12T21:00:19.276000","2026-03-12T21:00:19.276000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-03-02T23:11:58.299Z","96","0","common","ST-000151","1","humour","0","2026-03-12T20:59:16.757Z","69b32962deb0b131cbbaa3cf","2026-03-12T21:00:18.174000","2026-03-12T21:00:18.174000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-03-02T23:48:27.170Z","97","0","common","ST-000201","1","video","0","2026-03-12T20:59:16.757Z","69b329600d5fd6b6281be17d","2026-03-12T21:00:16.924000","2026-03-12T21:00:16.924000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-03-02T23:48:27.170Z","97","0","common","ST-000203","1","video","0","2026-03-12T20:59:16.757Z","69b329602da89ebc05b52a69","2026-03-12T21:00:16.576000","2026-03-12T21:00:16.576000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-03-02T23:48:27.170Z","97","0","common","ST-000208","1","video","0","2026-03-12T20:59:16.757Z","69b3295fea98baf94aefb281","2026-03-12T21:00:15.244000","2026-03-12T21:00:15.244000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2026-03-02T23:48:27.170Z","97","0","common","ST-000212","1","video","0","2026-03-12T20:59:16.757Z","69b3295e5b731975f02a458e","2026-03-12T21:00:14.645000","2026-03-12T21:00:14.645000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
