entryType,eventId,note,accountCode,relatedEntryId,amount_cents,payoutSplitId,stripeEventId,recipientUserId,createdAt,stripeRef,currency,payerUserId,debitCredit,id,created_date,updated_date,created_by_id,is_sample
"talent_transfer","69d7b8e23d9e3c5cae2ce9b6","Batch cachet — event 69d7b8e23d9e3c5cae2ce9b6 — 23.75$ → cGmADTy4 [Cr stripe_balance]","stripe_balance","69f1f807adbfcd35c2c8e04d","2375","69f1f7cb8b6f84386ebd5183","","","2026-04-29T12:22:31.746Z","tr_1TRX8MEDnfppNFcxtCnmnEO9","CAD","","credit","69f1f808771b032cbb4777fd","2026-04-29T12:22:32.043000","2026-04-29T12:22:32.043000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d7b8e23d9e3c5cae2ce9b6","Batch cachet — event 69d7b8e23d9e3c5cae2ce9b6 — 23.75$ → cGmADTy4 [Dr stripe_connect_transit]","stripe_connect_transit","69f1f808771b032cbb4777fd","2375","69f1f7cb8b6f84386ebd5183","","","2026-04-29T12:22:31.746Z","tr_1TRX8MEDnfppNFcxtCnmnEO9","CAD","","debit","69f1f807adbfcd35c2c8e04d","2026-04-29T12:22:31.891000","2026-04-29T12:22:32.212000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69eb682b9430b4c08113234d","Batch cachet — event 69eb682b9430b4c08113234d — 94.00$ → pkPYEQBM [Cr stripe_balance]","stripe_balance","69f1f8038edafe25276c7da1","9400","69f1f7cb8b6f84386ebd51f2","","","2026-04-29T12:22:27.161Z","tr_1TRX8HEDnfppNFcxKHvTZWiV","CAD","","credit","69f1f8032e66773b7c1fb5fc","2026-04-29T12:22:27.474000","2026-04-29T12:22:27.474000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69eb682b9430b4c08113234d","Batch cachet — event 69eb682b9430b4c08113234d — 94.00$ → pkPYEQBM [Dr stripe_connect_transit]","stripe_connect_transit","69f1f8032e66773b7c1fb5fc","9400","69f1f7cb8b6f84386ebd51f2","","","2026-04-29T12:22:27.161Z","tr_1TRX8HEDnfppNFcxKHvTZWiV","CAD","","debit","69f1f8038edafe25276c7da1","2026-04-29T12:22:27.309000","2026-04-29T12:22:27.664000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d81648bd82e7282106ec34","Batch cachet — event 69d81648bd82e7282106ec34 — 60.04$ → cGmADTy4 [Cr stripe_balance]","stripe_balance","69f1f7fe3842819203ee2a58","6004","69f1f7cb8b6f84386ebd51ec","","","2026-04-29T12:22:22.385Z","tr_1TRX8DEDnfppNFcxdWmCRstX","CAD","","credit","69f1f7fe18a2d733897080db","2026-04-29T12:22:22.697000","2026-04-29T12:22:22.697000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d81648bd82e7282106ec34","Batch cachet — event 69d81648bd82e7282106ec34 — 60.04$ → cGmADTy4 [Dr stripe_connect_transit]","stripe_connect_transit","69f1f7fe18a2d733897080db","6004","69f1f7cb8b6f84386ebd51ec","","","2026-04-29T12:22:22.385Z","tr_1TRX8DEDnfppNFcxdWmCRstX","CAD","","debit","69f1f7fe3842819203ee2a58","2026-04-29T12:22:22.528000","2026-04-29T12:22:22.868000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d80cabe1336b871a5d61ac","Batch cachet — event 69d80cabe1336b871a5d61ac — 95.00$ → cGmADTy4 [Cr stripe_balance]","stripe_balance","69f1f7fb2439b7743e10c295","9500","69f1f7cb8b6f84386ebd51ea","","","2026-04-29T12:22:19.794Z","tr_1TRX8AEDnfppNFcxEPk6Y1Rz","CAD","","credit","69f1f7fc073a3d64bb83909f","2026-04-29T12:22:20.078000","2026-04-29T12:22:20.078000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d80cabe1336b871a5d61ac","Batch cachet — event 69d80cabe1336b871a5d61ac — 95.00$ → cGmADTy4 [Dr stripe_connect_transit]","stripe_connect_transit","69f1f7fc073a3d64bb83909f","9500","69f1f7cb8b6f84386ebd51ea","","","2026-04-29T12:22:19.794Z","tr_1TRX8AEDnfppNFcxEPk6Y1Rz","CAD","","debit","69f1f7fb2439b7743e10c295","2026-04-29T12:22:19.924000","2026-04-29T12:22:20.237000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69eb54a1a9707a51c042eaff","No-show remboursé 200.00$ — event 69eb54a1a9707a51c042eaff [Cr stripe_balance]","stripe_balance","69f1f6e59d7c77cec150e4f6","20000","69f1f55971061fa9bb41f2dd","","","2026-04-29T12:17:41.754Z","re_3TPi2zEDnfppNFcx0JzOx1HJ","CAD","","credit","69f1f6e6f49bb4b48be38607","2026-04-29T12:17:42.129000","2026-04-29T12:17:42.129000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69eb54a1a9707a51c042eaff","No-show remboursé 200.00$ — event 69eb54a1a9707a51c042eaff [Dr refund_liability]","refund_liability","69f1f6e6f49bb4b48be38607","20000","69f1f55971061fa9bb41f2dd","","","2026-04-29T12:17:41.754Z","re_3TPi2zEDnfppNFcx0JzOx1HJ","CAD","","debit","69f1f6e59d7c77cec150e4f6","2026-04-29T12:17:41.921000","2026-04-29T12:17:42.317000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69eabaa014b3b229e04cd76a","No-show remboursé 71.60$ — event 69eabaa014b3b229e04cd76a [Cr stripe_balance]","stripe_balance","69f1f6e2cfcf0f051568848d","7160","69f1f55971061fa9bb41f2da","","","2026-04-29T12:17:38.486Z","re_3TPXrtEDnfppNFcx0D0N4jxw","CAD","","credit","69f1f6e2c0df56e5ee0145df","2026-04-29T12:17:38.842000","2026-04-29T12:17:38.842000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69eabaa014b3b229e04cd76a","No-show remboursé 71.60$ — event 69eabaa014b3b229e04cd76a [Dr refund_liability]","refund_liability","69f1f6e2c0df56e5ee0145df","7160","69f1f55971061fa9bb41f2da","","","2026-04-29T12:17:38.486Z","re_3TPXrtEDnfppNFcx0D0N4jxw","CAD","","debit","69f1f6e2cfcf0f051568848d","2026-04-29T12:17:38.668000","2026-04-29T12:17:40.017000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69ea7a3dba45aac7aea9dcb0","No-show remboursé 29.90$ — event 69ea7a3dba45aac7aea9dcb0 [Cr stripe_balance]","stripe_balance","69f1f6dd13a177bb44ac172c","2990","69f1f55971061fa9bb41f338","","","2026-04-29T12:17:33.539Z","re_3TPTTaEDnfppNFcx10FBbhgA","CAD","","credit","69f1f6de1f8d4cfb44e95b94","2026-04-29T12:17:34.095000","2026-04-29T12:17:34.095000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69ea7a3dba45aac7aea9dcb0","No-show remboursé 29.90$ — event 69ea7a3dba45aac7aea9dcb0 [Dr refund_liability]","refund_liability","69f1f6de1f8d4cfb44e95b94","2990","69f1f55971061fa9bb41f338","","","2026-04-29T12:17:33.539Z","re_3TPTTaEDnfppNFcx10FBbhgA","CAD","","debit","69f1f6dd13a177bb44ac172c","2026-04-29T12:17:33.673000","2026-04-29T12:17:34.756000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69eb6a82d3d017cfbd3e77bc","No-show remboursé 9.48$ — event 69eb6a82d3d017cfbd3e77bc [Cr stripe_balance]","stripe_balance","69f1f6da0fe51cb97d698b99","948","69f1f55971061fa9bb41f337","","","2026-04-29T12:17:30.678Z","re_3TPjRsEDnfppNFcx1jTUc89d","CAD","","credit","69f1f6daa5b9e58005d8a8d8","2026-04-29T12:17:30.980000","2026-04-29T12:17:30.980000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69eb6a82d3d017cfbd3e77bc","No-show remboursé 9.48$ — event 69eb6a82d3d017cfbd3e77bc [Dr refund_liability]","refund_liability","69f1f6daa5b9e58005d8a8d8","948","69f1f55971061fa9bb41f337","","","2026-04-29T12:17:30.678Z","re_3TPjRsEDnfppNFcx1jTUc89d","CAD","","debit","69f1f6da0fe51cb97d698b99","2026-04-29T12:17:30.812000","2026-04-29T12:17:31.172000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69eb682b9430b4c08113234d","No-show remboursé 62.10$ — event 69eb682b9430b4c08113234d [Cr stripe_balance]","stripe_balance","69f1f6d855b5ca4a5a69d0c1","6210","69f1f55971061fa9bb41f334","","","2026-04-29T12:17:28.399Z","re_3TPjJ6EDnfppNFcx0o0O7KvZ","CAD","","credit","69f1f6d8a3d840b2c4155417","2026-04-29T12:17:28.731000","2026-04-29T12:17:28.731000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"noshow_refund_issued","69eb682b9430b4c08113234d","No-show remboursé 62.10$ — event 69eb682b9430b4c08113234d [Dr refund_liability]","refund_liability","69f1f6d8a3d840b2c4155417","6210","69f1f55971061fa9bb41f334","","","2026-04-29T12:17:28.399Z","re_3TPjJ6EDnfppNFcx0o0O7KvZ","CAD","","debit","69f1f6d855b5ca4a5a69d0c1","2026-04-29T12:17:28.551000","2026-04-29T12:17:28.880000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d8e47a29fd00ffd0fffe17","Batch cachet — event 69d8e47a29fd00ffd0fffe17 — 90.25$ → AHsHT7Zs [Cr stripe_balance]","stripe_balance","69f1f6d607b3f370021b5674","9025","69f1f55971061fa9bb41f249","","","2026-04-29T12:17:25.864Z","tr_1TRX3QEDnfppNFcxaIGqg5mC","CAD","","credit","69f1f6d6fcc8893c3053ced7","2026-04-29T12:17:26.187000","2026-04-29T12:17:26.187000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d8e47a29fd00ffd0fffe17","Batch cachet — event 69d8e47a29fd00ffd0fffe17 — 90.25$ → AHsHT7Zs [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6d6fcc8893c3053ced7","9025","69f1f55971061fa9bb41f249","","","2026-04-29T12:17:25.864Z","tr_1TRX3QEDnfppNFcxaIGqg5mC","CAD","","debit","69f1f6d607b3f370021b5674","2026-04-29T12:17:26.011000","2026-04-29T12:17:26.413000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d6e600bd465602e93bc614","Batch cachet — event 69d6e600bd465602e93bc614 — 50.92$ → pkPYEQBM [Cr stripe_balance]","stripe_balance","69f1f6d3d67689e02960f86c","5092","69f1f55971061fa9bb41f245","","","2026-04-29T12:17:23.016Z","tr_1TRX3NEDnfppNFcx2CjT74AI","CAD","","credit","69f1f6d39e0bc8215e163c6f","2026-04-29T12:17:23.352000","2026-04-29T12:17:23.352000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69d6e600bd465602e93bc614","Batch cachet — event 69d6e600bd465602e93bc614 — 50.92$ → pkPYEQBM [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6d39e0bc8215e163c6f","5092","69f1f55971061fa9bb41f245","","","2026-04-29T12:17:23.016Z","tr_1TRX3NEDnfppNFcx2CjT74AI","CAD","","debit","69f1f6d3d67689e02960f86c","2026-04-29T12:17:23.181000","2026-04-29T12:17:23.512000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e3b8248fc51fd03a56857c","Batch cachet — event 69e3b8248fc51fd03a56857c — 21.31$ → AHsHT7Zs [Cr stripe_balance]","stripe_balance","69f1f6d08ab784082c07ae11","2131","69f1f55971061fa9bb41f23b","","","2026-04-29T12:17:20.604Z","tr_1TRX3LEDnfppNFcxh5tvkjaz","CAD","","credit","69f1f6d0f0c3c3eaef9a6af8","2026-04-29T12:17:20.891000","2026-04-29T12:17:20.891000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e3b8248fc51fd03a56857c","Batch cachet — event 69e3b8248fc51fd03a56857c — 21.31$ → AHsHT7Zs [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6d0f0c3c3eaef9a6af8","2131","69f1f55971061fa9bb41f23b","","","2026-04-29T12:17:20.604Z","tr_1TRX3LEDnfppNFcxh5tvkjaz","CAD","","debit","69f1f6d08ab784082c07ae11","2026-04-29T12:17:20.729000","2026-04-29T12:17:21.057000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e3b8248fc51fd03a56857c","Batch cachet — event 69e3b8248fc51fd03a56857c — 35.69$ → 1nXNICVC [Cr stripe_balance]","stripe_balance","69f1f6ce9a440c35d5fd46b2","3569","69f1f55971061fa9bb41f23a","","","2026-04-29T12:17:18.031Z","tr_1TRX3IEDnfppNFcx6EWn0VJS","CAD","","credit","69f1f6ce4e7bae423914da35","2026-04-29T12:17:18.345000","2026-04-29T12:17:18.346000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e3b8248fc51fd03a56857c","Batch cachet — event 69e3b8248fc51fd03a56857c — 35.69$ → 1nXNICVC [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6ce4e7bae423914da35","3569","69f1f55971061fa9bb41f23a","","","2026-04-29T12:17:18.031Z","tr_1TRX3IEDnfppNFcx6EWn0VJS","CAD","","debit","69f1f6ce9a440c35d5fd46b2","2026-04-29T12:17:18.176000","2026-04-29T12:17:18.569000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e2cf0fe7c8b194afd3d8f8","Batch cachet — event 69e2cf0fe7c8b194afd3d8f8 — 38.00$ → cGmADTy4 [Cr stripe_balance]","stripe_balance","69f1f6cb10f5e7616d1f57f5","3800","69f1f55971061fa9bb41f237","","","2026-04-29T12:17:15.505Z","tr_1TRX3GEDnfppNFcx7WvYpbjp","CAD","","credit","69f1f6cbd7a84aef49740975","2026-04-29T12:17:15.814000","2026-04-29T12:17:15.814000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e2cf0fe7c8b194afd3d8f8","Batch cachet — event 69e2cf0fe7c8b194afd3d8f8 — 38.00$ → cGmADTy4 [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6cbd7a84aef49740975","3800","69f1f55971061fa9bb41f237","","","2026-04-29T12:17:15.505Z","tr_1TRX3GEDnfppNFcx7WvYpbjp","CAD","","debit","69f1f6cb10f5e7616d1f57f5","2026-04-29T12:17:15.627000","2026-04-29T12:17:15.989000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e2cf0fe7c8b194afd3d8f8","Batch cachet — event 69e2cf0fe7c8b194afd3d8f8 — 140.80$ → xJkejRFm [Cr stripe_balance]","stripe_balance","69f1f6c9fcfd8f0e63afa564","14080","69f1f55971061fa9bb41f236","","","2026-04-29T12:17:12.936Z","tr_1TRX3DEDnfppNFcxdaJ3gZhb","CAD","","credit","69f1f6c90953268b127a33a2","2026-04-29T12:17:13.280000","2026-04-29T12:17:13.280000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e2cf0fe7c8b194afd3d8f8","Batch cachet — event 69e2cf0fe7c8b194afd3d8f8 — 140.80$ → xJkejRFm [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6c90953268b127a33a2","14080","69f1f55971061fa9bb41f236","","","2026-04-29T12:17:12.936Z","tr_1TRX3DEDnfppNFcxdaJ3gZhb","CAD","","debit","69f1f6c9fcfd8f0e63afa564","2026-04-29T12:17:13.075000","2026-04-29T12:17:13.472000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e16c116de5c4509261cc1b","Batch cachet — event 69e16c116de5c4509261cc1b — 7.39$ → 1nXNICVC [Cr stripe_balance]","stripe_balance","69f1f6c61214c9d85f170e62","739","69f1f55971061fa9bb41f233","","","2026-04-29T12:17:10.372Z","tr_1TRX3BEDnfppNFcx6wPDIncC","CAD","","credit","69f1f6c64d35b8edef2cff68","2026-04-29T12:17:10.713000","2026-04-29T12:17:10.713000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e16c116de5c4509261cc1b","Batch cachet — event 69e16c116de5c4509261cc1b — 7.39$ → 1nXNICVC [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6c64d35b8edef2cff68","739","69f1f55971061fa9bb41f233","","","2026-04-29T12:17:10.372Z","tr_1TRX3BEDnfppNFcx6wPDIncC","CAD","","debit","69f1f6c61214c9d85f170e62","2026-04-29T12:17:10.505000","2026-04-29T12:17:10.909000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e16c116de5c4509261cc1b","Batch cachet — event 69e16c116de5c4509261cc1b — 54.75$ → AHsHT7Zs [Cr stripe_balance]","stripe_balance","69f1f6c33b089b2447bdd6a4","5475","69f1f55971061fa9bb41f232","","","2026-04-29T12:17:07.675Z","tr_1TRX38EDnfppNFcxnIBHqWPL","CAD","","credit","69f1f6c3a208521172f4b7cc","2026-04-29T12:17:07.987000","2026-04-29T12:17:07.987000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e16c116de5c4509261cc1b","Batch cachet — event 69e16c116de5c4509261cc1b — 54.75$ → AHsHT7Zs [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6c3a208521172f4b7cc","5475","69f1f55971061fa9bb41f232","","","2026-04-29T12:17:07.675Z","tr_1TRX38EDnfppNFcxnIBHqWPL","CAD","","debit","69f1f6c33b089b2447bdd6a4","2026-04-29T12:17:07.812000","2026-04-29T12:17:08.201000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e7dc7a3a00ff3f726c896b","Batch cachet — event 69e7dc7a3a00ff3f726c896b — 63.65$ → xJkejRFm [Cr stripe_balance]","stripe_balance","69f1f6c16fe510111142607d","6365","69f1f55971061fa9bb41f22d","","","2026-04-29T12:17:05.158Z","tr_1TRX35EDnfppNFcxFe0FbWT3","CAD","","credit","69f1f6c1600e89758392cec6","2026-04-29T12:17:05.448000","2026-04-29T12:17:05.448000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e7dc7a3a00ff3f726c896b","Batch cachet — event 69e7dc7a3a00ff3f726c896b — 63.65$ → xJkejRFm [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6c1600e89758392cec6","6365","69f1f55971061fa9bb41f22d","","","2026-04-29T12:17:05.158Z","tr_1TRX35EDnfppNFcxFe0FbWT3","CAD","","debit","69f1f6c16fe510111142607d","2026-04-29T12:17:05.299000","2026-04-29T12:17:05.629000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e7dc7a3a00ff3f726c896b","Batch cachet — event 69e7dc7a3a00ff3f726c896b — 12.35$ → MmYk8UPo [Cr stripe_balance]","stripe_balance","69f1f6bec4ba0cd80fe5582c","1235","69f1f55971061fa9bb41f22c","","","2026-04-29T12:17:02.106Z","tr_1TRX32EDnfppNFcxl7fzmbkZ","CAD","","credit","69f1f6be1707ef950e72fc71","2026-04-29T12:17:02.443000","2026-04-29T12:17:02.443000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"talent_transfer","69e7dc7a3a00ff3f726c896b","Batch cachet — event 69e7dc7a3a00ff3f726c896b — 12.35$ → MmYk8UPo [Dr stripe_connect_transit]","stripe_connect_transit","69f1f6be1707ef950e72fc71","1235","69f1f55971061fa9bb41f22c","","","2026-04-29T12:17:02.106Z","tr_1TRX32EDnfppNFcxl7fzmbkZ","CAD","","debit","69f1f6bec4ba0cd80fe5582c","2026-04-29T12:17:02.275000","2026-04-29T12:17:02.625000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
