level,totalDrops,xp,userId,domainKey,lastDropAt,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"1","1","140","69cd302266f2193a99122757","humour","2026-04-14T13:53:30.554Z","2026-04-14T13:53:30.554Z","69cfb8af5007f27a24491999","2026-04-03T12:55:11.480000","2026-04-14T13:53:30.699000","69cd302266f2193a99122757","false"
"1","0","0","69cc5fb8d599c99df1e75f81","video","","2026-04-02T11:58:59.103Z","69ce5a0393fa682014da8f2d","2026-04-02T11:58:59.339000","2026-04-02T11:58:59.339000","69cc5fb8d599c99df1e75f81","false"
"1","0","0","69cc8733c3fe5f1da80ba357","music","","2026-04-01T17:06:22.379Z","69cd508e874c6d4a4be632d0","2026-04-01T17:06:22.585000","2026-04-01T17:06:22.585000","69cc8733c3fe5f1da80ba357","false"
"14","20","6520","69cd302266f2193a99122757","music","2026-04-24T13:57:13.522Z","2026-04-24T13:57:13.522Z","69cd3989bb964da33be0b887","2026-04-01T15:28:09.869000","2026-04-24T13:57:13.678000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"1","1","280","69cc5fb8d599c99df1e75f81","music","2026-04-01T15:28:24.876Z","2026-04-01T15:28:24.877Z","69cd34f3c748cebf319d158c","2026-04-01T15:08:35.650000","2026-04-01T15:28:25.023000","69cc5fb8d599c99df1e75f81","false"
"1","0","0","69b8923e5da3bfb51a6a8594","responsable","","2026-03-17T00:32:10.542Z","69b8a10a3a58a27d9d5497ea","2026-03-17T00:32:10.684000","2026-03-17T00:32:10.684000","69b8923e5da3bfb51a6a8594","false"
"1","2","280","69b8923e5da3bfb51a6a8594","music","2026-04-20T01:29:50.690Z","2026-04-20T01:29:50.691Z","69b896dc096440108515fcee","2026-03-16T23:48:44.792000","2026-04-20T01:29:50.973000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"1","1","140","69b5fabdcdff0f2e42039d46","video","2026-03-15T02:38:34.958Z","2026-03-15T02:38:34.958Z","69b61baa9bda1e370b0a0282","2026-03-15T02:38:34.767000","2026-03-15T02:38:35.125000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"1","2","280","698d204286a5af9808991620","art","2026-04-18T15:55:55.910Z","2026-04-18T15:55:55.910Z","69b58548b3da0e3197e5079a","2026-03-14T15:56:56.347000","2026-04-18T15:55:56.048000","698d204286a5af9808991620","false"
"1","1","280","698dc6f781b400b640a229f6","food","2026-03-14T15:07:45.274Z","2026-03-14T15:07:45.274Z","69b579c1506f1c8c3acd389a","2026-03-14T15:07:45.096000","2026-03-14T15:07:45.418000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
