missionKey,sceneId,description,rewardBadge,active,objectives,zoneName,checkpointSystemIds,title,domainKey,expiresAt,rewardXp,missionTemplate,id,created_date,updated_date,created_by_id,is_sample
"all_night_long","","Événement scène artistique mensuel. DJ émergent (50 % profits) + Vidéaste (captation assistée IA).","ALLNIGHTER","true","[{""type"":""event_created"",""count"":3,""checkpointSystemIds"":[]}]","Plateau-Mont-Royal / Ville-Marie","[]","ALL NIGHT LONG","music","","350","all_night_long","69b34836d3d07504ea58b394","2026-03-12T23:11:50.531000","2026-03-12T23:23:33.534000","698c747aee05acfdd23ea578","false"
"corporate_4a7","","Événement clé en main : DJ + Humoriste + Vidéaste. Ambiance networking, set lounge/cocktail.","Jeune Professionnel","true","[{""type"":""event_created"",""count"":5,""checkpointSystemIds"":[]}]","Plateau-Mont-Royal / Ville-Marie","[]","4 à 7 Corpo","music","","1000","corporate_4a7","69b347e9da1ffb3e275aa041","2026-03-12T23:10:33.567000","2026-03-12T23:23:37.433000","698c747aee05acfdd23ea578","false"
